,precision,recall,f1-score,support
Irrelevant,0.38633461047254153,0.2715439856373429,0.3189246178176067,2228.0
Negative,0.5929702755478412,0.7011287839917907,0.6425296814388151,3898.0
Neutral,0.5257836198179979,0.5078125,0.5166418281172379,3072.0
Positive,0.5700564971751413,0.5792192881745121,0.5746013667425968,3484.0
accuracy,0.5453398517583977,0.5453398517583977,0.5453398517583977,0.5453398517583977
macro avg,0.5187862507533805,0.5149261394509114,0.5131743735290641,12682.0
weighted avg,0.5340983884606048,0.5453398517583977,0.536522599310321,12682.0
