,precision,recall,f1-score,support
Irrelevant,0.42593957258658804,0.2594254937163375,0.3224546722454672,2228.0
Negative,0.6037854889589905,0.7365315546434069,0.6635848838553103,3898.0
Neutral,0.5545181727242414,0.5413411458333334,0.5478504365014001,3072.0
Positive,0.6040324838980677,0.6191159586681975,0.6114812189936215,3484.0
accuracy,0.5731745781422488,0.5731745781422488,0.5731745781422488,0.5731745781422488
macro avg,0.547068929541972,0.5391035382153189,0.5363428028989498,12682.0
weighted avg,0.5606748307991485,0.5731745781422488,0.5613057873314129,12682.0
