model,best_parameters,best_cv_macro_f1
Logistic Regression,"{'classifier__C': 5.0, 'classifier__class_weight': 'balanced'}",0.8936457578330067
Linear SVM,"{'classifier__C': 2.0, 'classifier__class_weight': None}",0.9201250205665183
